City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Termoli,IT,41.9888,14.9895,68.77,68,0,3.11,clear sky
225,San Borja,BO,-14.8167,-66.85,92.3,47,77,6.96,broken clouds
226,Nanortalik,GL,60.1432,-45.2371,33.39,72,45,6.33,scattered clouds
227,Issoire,FR,45.55,3.25,78.06,43,99,7.07,overcast clouds
228,Vallenar,CL,-28.5708,-70.7581,81.16,25,1,7.56,clear sky
229,Taoudenni,ML,22.6783,-3.9836,93.96,7,0,9.42,clear sky
230,Baiyin,CN,36.5583,104.2081,47.39,54,21,3.78,few clouds
231,Puerto Lopez,CO,4.0845,-72.956,82.15,76,96,1.32,overcast clouds
232,Gigmoto,PH,13.7796,124.39,80.62,89,100,20.96,light rain
233,Charters Towers,AU,-20.1,146.2667,74.79,49,0,5.48,clear sky
234,Ponta Do Sol,PT,32.6667,-17.1,75.7,85,100,3.4,overcast clouds
235,Hayden,US,47.766,-116.7866,47.44,85,100,3.44,overcast clouds
236,Ambovombe,MG,-25.1667,46.0833,69.87,85,100,20.0,overcast clouds
237,Valparaiso,CL,-33.0393,-71.6273,71.83,56,0,12.66,clear sky
238,Aubenas,FR,44.6201,4.3899,66.16,73,100,3.0,overcast clouds
239,Jimma,ET,7.6667,36.8333,61.09,81,76,0.31,broken clouds
240,Marawi,PH,7.9986,124.2928,70.25,92,100,7.25,overcast clouds
241,Yar-Sale,RU,66.8333,70.8333,20.19,89,93,10.94,overcast clouds
242,Naze,JP,28.3667,129.4833,70.72,81,90,20.38,overcast clouds
243,Itarema,BR,-2.9248,-39.9167,90.32,52,62,20.07,broken clouds
244,Maceio,BR,-9.6658,-35.7353,85.44,61,75,12.66,broken clouds
245,Derzhavinsk,KZ,51.1,66.3167,30.02,67,100,9.73,overcast clouds
246,Oussouye,SN,12.485,-16.5469,93.38,53,20,9.33,few clouds
247,Ban Nahin,LA,18.2418,104.2122,69.93,87,100,4.43,overcast clouds
248,Bonthe,SL,7.5264,-12.505,83.88,70,63,5.01,light rain
249,Tazovskiy,RU,67.4667,78.7,20.75,88,92,16.37,overcast clouds
250,Stornoway,GB,58.2093,-6.3865,53.92,92,73,8.05,broken clouds
251,Grand-Santi,GF,4.25,-54.3833,80.67,88,83,3.85,broken clouds
252,Ostrovnoy,RU,68.0531,39.5131,39.74,97,100,21.97,overcast clouds
253,Smithers,CA,54.7804,-127.1743,32.32,86,100,4.61,light snow
254,Dubbo,AU,-32.25,148.6167,48.33,93,0,3.44,clear sky
255,Lagoa,PT,39.05,-27.9833,62.42,62,94,13.11,overcast clouds
256,Le Port,RE,-20.9373,55.2919,75.2,74,77,3.87,broken clouds
257,Sosnovo-Ozerskoye,RU,52.5249,111.5418,28.72,77,100,4.97,overcast clouds
258,Hamilton,US,39.1834,-84.5333,62.74,54,0,5.75,clear sky
259,Anamur,TR,36.0751,32.8369,70.84,46,0,4.63,clear sky
260,Canon City,US,38.441,-105.2424,56.62,29,0,11.5,clear sky
261,Namatanai,PG,-3.6667,152.4333,80.92,79,81,6.49,broken clouds
262,Champerico,GT,14.3,-91.9167,86.54,72,100,2.68,overcast clouds
