City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Gillette,US,2022-10-24 17:20:09,44.2911,-105.5022,34.95,77,75,18.41
101,Sioux Lookout,CA,2022-10-24 17:22:36,50.1001,-91.917,61.56,86,100,14.81
102,Benguela,AO,2022-10-24 17:22:37,-12.5763,13.4055,77.18,81,70,10.16
103,Azul,AR,2022-10-24 17:21:59,-36.777,-59.8585,80.82,31,48,10.83
104,Grand-Santi,GF,2022-10-24 17:22:37,4.25,-54.3833,98.74,31,94,4.54
105,Nichinan,JP,2022-10-24 17:22:38,31.6,131.3667,54.03,64,14,8.75
106,Nabire,ID,2022-10-24 17:22:40,-3.3667,135.4833,76.24,91,100,3.4
107,Maxixe,MZ,2022-10-24 17:22:40,-23.8597,35.3472,76.89,83,71,12.03
108,Vestmanna,FO,2022-10-24 17:22:41,62.1564,-7.1664,50.92,76,75,13.8
109,Urucara,BR,2022-10-24 17:22:42,-2.5364,-57.76,95.16,41,87,4.12
110,Severo-Kurilsk,RU,2022-10-24 17:22:42,50.6789,156.125,37.42,69,82,8.16
111,Umm Lajj,SA,2022-10-24 17:22:42,25.0213,37.2685,80.67,57,1,13.94
112,Cervo,ES,2022-10-24 17:22:43,43.6702,-7.4101,61.97,73,100,4.81
113,Sitka,US,2022-10-24 17:22:44,57.0531,-135.33,42.69,75,75,5.75
114,Fonte Boa,BR,2022-10-24 17:22:44,-2.4959,-66.2662,90.07,57,88,1.72
115,Bengkulu,ID,2022-10-24 17:22:45,-3.8004,102.2655,75.34,91,100,2.01
116,Rocha,UY,2022-10-24 17:22:45,-34.4833,-54.3333,70.2,59,45,11.88
117,Saint George,US,2022-10-24 17:17:52,37.1041,-113.5841,51.44,40,0,4.61
118,Zhigansk,RU,2022-10-24 17:22:46,66.7697,123.3711,26.71,96,100,17.76
119,Chieti,IT,2022-10-24 17:22:46,42.3609,14.138,68.22,90,20,5.75
120,Marawi,PH,2022-10-24 17:22:46,7.9986,124.2928,68.77,94,100,2.66
121,Vaini,TO,2022-10-24 17:22:47,-21.2,-175.2,69.96,56,20,14.97
122,Gimbi,ET,2022-10-24 17:22:47,9.1667,35.8333,55.56,92,6,0.92
123,Hobart,AU,2022-10-24 17:19:45,-42.8794,147.3294,53.46,95,100,0.0
124,Steinbach,DE,2022-10-24 17:22:48,50.1667,8.5667,64.63,63,0,10.36
125,Palauig,PH,2022-10-24 17:22:49,15.435,119.9045,81.12,77,73,3.83
126,Mendi,PG,2022-10-24 17:22:49,-6.1761,143.6513,56.52,98,95,1.63
127,Qaanaaq,GL,2022-10-24 17:22:51,77.484,-69.3632,15.46,86,88,7.52
128,Sambava,MG,2022-10-24 17:22:51,-14.2667,50.1667,71.69,79,1,4.25
129,Agadir,MA,2022-10-24 17:22:51,30.4202,-9.5982,100.85,28,100,0.49
130,Belyy Yar,RU,2022-10-24 17:22:52,53.6039,91.3903,26.49,80,0,6.71
131,Carutapera,BR,2022-10-24 17:22:53,-1.195,-46.02,86.83,61,64,10.09
132,Solana Beach,US,2022-10-24 17:22:55,32.9912,-117.2711,74.08,42,0,3.0
133,Otane,NZ,2022-10-24 17:22:55,-39.8833,176.6333,50.02,82,100,5.75
134,Gizo,SB,2022-10-24 17:22:58,-8.103,156.8419,82.0,73,30,2.08
135,Dong Hoi,VN,2022-10-24 17:23:58,17.4833,106.6,75.22,94,86,5.7
