City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
178,Boende,CD,75.6,light rain,-0.2167,20.8667,
180,Cidreira,BR,80.71,clear sky,-30.1811,-50.2056,Hotel Castelo
181,Vwawa,TZ,77.61,overcast clouds,-9.1167,32.9333,Vwawa Secondary School's Hostels
182,Rio Claro,BR,91.74,clear sky,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
183,Telimele,GN,85.51,scattered clouds,10.9167,-13.3333,
186,Boyolangu,ID,74.37,overcast clouds,-8.1181,111.8935,Yos ega cv
188,Nishihara,JP,76.28,few clouds,26.1842,127.7558,Minshuku Agaihama
189,Ravar,IR,73.38,clear sky,31.2656,56.8055,computertik
192,Broome,US,55.6,clear sky,42.2506,-75.833,Chenango Valley State Park
193,Atar,MR,95.23,scattered clouds,20.5169,-13.0499,Oumou Elghoura
194,Constitucion,CL,62.85,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
195,Coari,BR,73.53,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
197,Wangaratta,AU,51.48,broken clouds,-36.3667,146.3333,Quality Hotel Wangaratta Gateway
200,Faya,SA,64.92,broken clouds,18.3851,42.4509,شيلة نسايم
201,Dingle,PH,77.54,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
202,Lubumbashi,CD,82.99,scattered clouds,-11.6609,27.4794,Glo Flats
203,San Patricio,US,66.07,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
205,Moyale,KE,72.82,broken clouds,3.5167,39.0584,La Tahzan Guest House
206,Viedma,AR,66.25,scattered clouds,-40.8135,-62.9967,Hotel Cristal
208,Katsuura,JP,59.02,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
209,Panormos,GR,67.01,broken clouds,35.4182,24.6909,Kirki Village Adults Only +
210,Goroka,PG,58.21,overcast clouds,-6.0834,145.3873,Bird of Paradise Hotel & Apartments
212,Kipini,KE,80.89,broken clouds,-2.5257,40.5262,Delta Sea Mall
215,Penzance,GB,60.12,few clouds,50.1186,-5.5371,Artist Residence Penzance
216,General Roca,AR,70.63,light rain,-39.0333,-67.5833,Hotel El Recreo
